AÑO;MES;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;SECTOR;CATEGORIA;CO_IPRESS;RAZON_SOC;ID_PARTO;TIPO_PARTO;PARTOS_TOTAL;PARTOS_VIVOS;PARTOS_MUERTOS
2026;4;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;58;52;6
2026;4;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;4;4;0
2026;4;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";1;VAGINAL;161;161;0
2026;3;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;70;66;4
2026;3;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;3;3;0
2026;3;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";1;VAGINAL;162;162;0
2026;5;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;64;60;4
2026;5;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;6;6;0
2026;5;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";1;VAGINAL;155;155;0
2026;1;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;59;54;5
2026;1;160101;LORETO;MAYNAS;IQUITOS;MINSA;II-2;1;"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";2;CESAREA;6;6;0
