RAZON_SOC;DEPARTAMENTO;PARTOS_TOTAL;PARTOS_MUERTOS
"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";LORETO;58.0;6.0
"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";LORETO;70.0;4.0
"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";LORETO;64.0;4.0
"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";LORETO;59.0;5.0
"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";LORETO;49.0;3.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;139.0;1.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;147.0;4.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;108.0;1.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;73.0;2.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;125.0;2.0
UNIDAD EJECUTORA HOSPITAL SAN JUAN DE LURIGANCHO;LIMA;152.0;5.0
HOSPITAL DE HUAYCAN;LIMA;33.0;1.0
HOSPITAL NACIONAL HIPOLITO UNANUE;LIMA;100.0;2.0
HOSPITAL NACIONAL HIPOLITO UNANUE;LIMA;17.0;2.0
HOSPITAL NACIONAL HIPOLITO UNANUE;LIMA;93.0;2.0
HOSPITAL NACIONAL HIPOLITO UNANUE;LIMA;101.0;1.0
HOSPITAL MARIA AUXILIADORA;LIMA;73.0;2.0
HOSPITAL MARIA AUXILIADORA;LIMA;49.0;2.0
HOSPITAL MARIA AUXILIADORA;LIMA;85.0;1.0
HOSPITAL MARIA AUXILIADORA;LIMA;63.0;1.0
HOSPITAL MARIA AUXILIADORA;LIMA;144.0;1.0
HOSPITAL MARIA AUXILIADORA;LIMA;107.0;2.0
HOSPITAL NACIONAL  DOS DE MAYO;LIMA;85.0;1.0
HOSPITAL NACIONAL  DOS DE MAYO;LIMA;25.0;1.0
